kic_kepler_id,glx_objid
8348664,2567018939755268265
8348699,2567018939755268707
8348754,2567018939755268649
8348765,2567018939755268623
8348873,2567018939755268611
8348887,2567018939755268385
8349116,2567018939755268146
8349145,2567018939755268569
8349155,2567018939755268549
8349177,2567018939755268106
8349187,2567018939755268613
8349192,2567018939755268216
8349248,2567018939755268322
8349257,2567018939755268870
8349297,2567018939755268735
8349302,2567018939755268536
8349330,2567018939755268406
8349344,2567018939755268386
8349350,2567018939755268366
8349351,2567018939755268143
8349379,2567018939755268627
8349399,2567018939755268154
8349402,2567018939755268521
8349536,2567018939755268204
8349539,2567018939755268436
8349565,2567018939755268509
8349568,2567018939755268267
8349582,2567018939755268790
8349612,2567018939755268717
8349645,2567018939755268214
8349688,2567018939755268431
8349732,2567018939755268565
8349736,2567018939755269030
8349776,2567018939755268288
8349860,2567018939755268582
8349926,2567018939755268481
8349934,2567018939755268579
8413637,2567018939755269397
8413670,2567018939755269204
8413675,2567018939755268945
8413705,2567018939755268971
8413707,2567018939755269359
8413815,2567018939755269493
8413837,2567018939755269388
8413864,2567018939755269384
8413885,2567018939755269573
8413939,2567018939755268986
8413968,2567018939755269477
8413971,2567018939755269037
8413972,2567018939755269377
8413985,2567018939755268884
8413988,2567018939755269062
8413996,2567018939755269707
8414034,2567018939755269448
8414062,2567018939755269410
8414116,2567018939755269307
8414120,2567018939755269184
8414159,2567018939755269024
8414160,2567018939755268832
8414193,2567018939755268801
8414194,2567018939755269179
8414283,2567018939755269214
8414303,2567018939755268932
8414340,2567018939755269190
8414368,2567018939755269081
8414443,2567018939755268939
8414450,2567018939755269000
8414473,2567018939755269276
8414492,2567018939755269400
8414512,2567018939755269002
8414518,2567018939755269242
8414529,2567018939755269150
8414533,2567018939755269559
8414556,2567018939755269055
8414577,2567018939755268918
8414617,2567018939755269314
8414649,2567018939755269027
8414655,2567018939755268816
8414664,2567018939755269110
8414671,2567018939755269389
8414685,2567018939755268990
8414692,2567018939755268990
8414693,2567018939755269358
8414708,2567018939755269174
8414715,2567018939755269228
8414751,2567018939755268916
8414812,2567018939755268898
8414815,2567018939755269441
8414845,2567018939755268980
8414868,2567018939755269126
8414875,2567018939755269368
8414899,2567018939755268928
8414926,2567018939755269413
8414934,2567018939755269284
8414952,2567018939755268997
8414961,2567018939755269243
8414982,2567018939755268818
8415004,2567018939755268946
8415016,2567018939755269392
8415023,2567018939755268788
8415058,2567018939755269071
8415109,2567018939755269871
8415114,2567018939755269191
8415151,2567018939755269333
8478250,2567018939755270102
8478298,2567018939755270043
