galex_id,ra,dec,min_cnt,max_cnt,ave_cnt,lc_filename
3190063800704309886,292.410146508,44.3143110913,0.0,30.0,14.085106383,
3154281294289961505,284.634538648,44.6768260459,1.0,21.0,11.9189189189,
3154281294289961598,284.654512294,44.6861898819,0.0,20.0,9.81981981982,
3154281294289961549,284.663475704,44.6674217043,1.0,59.0,33.3783783784,
3154281294289961585,284.704017899,44.6886719841,0.0,19.0,9.09545454545,
3154281294289961699,284.728230826,44.6951566722,0.0,22.0,10.0576923077,
3154281294289961336,284.732394387,44.6612348719,0.0,27.0,8.3488372093,3154281294289961336_LC.csv
3154281294289961299,284.745114839,44.6384042553,0.0,31.0,10.1310861423,3154281294289961299_LC.csv
3154281294289961311,284.758630092,44.6419346355,1.0,54.0,24.6518218623,3154281294289961311_LC.csv
3154281294289961311,284.758630092,44.6419346355,1.0,54.0,24.6518218623,3154281294289961311_LC.csv
3154281294292058747,284.763052179,44.6817830359,0.0,35.0,16.1802325581,
3190063800704313377,292.058489215,44.6757626743,0.0,38.0,17.8108747045,
3154281294289964064,284.407103111,44.8681195949,5.0,96.0,63.3727598566,
3154281294289962773,284.448037035,44.8053920428,0.0,26.0,10.9364548495,
3154281294289963074,284.480771929,44.84436788,0.0,22.0,8.29435483871,
3154281294289963046,284.483927844,44.8312169405,1.0,30.0,16.8496240602,
3154281294289962970,284.502836631,44.8316866121,0.0,20.0,7.9156626506,
3154281294289963755,284.509824086,44.8904783542,1.0,55.0,33.2280701754,
3154281294289963447,284.559846407,44.8416204824,1.0,26.0,12.8609865471,
3154281294289963478,284.565365887,44.8698884952,1.0,67.0,37.4923857868,
3154281294289963067,284.596376054,44.8470152463,1.0,17.0,8.28571428571,
3154281294289962988,284.611746812,44.8323074664,1.0,31.0,17.2340425532,
3154281294289963548,284.622032916,44.8903306725,0.0,17.0,9.01360544218,
