LC Filename,Quiescent Flux, Start Time, End Time, Peak Flux, Median Flux, Peak Flux Sigma Above Median
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713082824497_LC.csv,7.85084096031e-15,993082801.235,993082861.036,2.80009698339e-14,7.91734620019e-15,21.9435518311
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713082824497_LC.csv,7.85084096031e-15,995655348.418,995655513.166,3.20116111252e-14,7.91734620019e-15,24.5860272417
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153788713082824709_LC.csv,6.26639852264e-16,995655291.543,995655347.92,2.91204513359e-15,6.19063092937e-16,7.79499048258
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153823897452806315_LC.csv,3.56191950637e-16,995454528.99,995454568.99,1.91083076174e-15,3.518219615e-16,6.15975970275
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153823897452806315_LC.csv,3.56191950637e-16,995454568.99,995454651.313,9.96633118736e-16,3.518219615e-16,3.54370740356
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153823897452806339_LC.csv,3.65009153737e-16,995454548.361,995454679.187,1.52601571826e-15,3.65421055897e-16,5.10185156349
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153823897452806379_LC.csv,3.87135848984e-16,995454539.206,995454650.609,1.07786481175e-15,3.9305134076e-16,3.59404069161
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153823897452806408_LC.csv,5.32088692498e-16,995454532.277,995454609.268,2.10410165186e-15,5.3154044983e-16,5.93213620405
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153823897452806506_LC.csv,3.54834936283e-16,995454519.413,995454599.659,2.00707717892e-15,3.39786060014e-16,6.43462125385
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153823897452807113_LC.csv,3.22697047142e-16,995454919.278,995454999.539,8.86935769444e-15,3.41865218425e-16,16.0594725169
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153823897452808191_LC.csv,2.93372794549e-16,996283219.631,996283311.906,3.33064688482e-15,2.94755197657e-16,9.02341059395
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153823897452808618_LC.csv,4.50555242423e-16,996282351.3,996282380.091,1.73445143341e-15,4.4401417341e-16,4.5863431874
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153823897452808652_LC.csv,5.90375746365e-16,932753089.021,932753139.512,1.3908269002e-15,5.74159250615e-16,4.02551268463
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153823897452809293_LC.csv,4.49160003437e-16,996276760.16,996276849.978,1.33563523425e-15,4.35379786237e-16,3.69180299942
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153823897452809293_LC.csv,4.49160003437e-16,996282699.776,996282779.463,1.20948631583e-15,4.35379786237e-16,4.04789992756
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153823897452809446_LC.csv,7.27791914475e-16,995454061.674,995454255.235,1.85478977317e-15,7.52131826112e-16,4.68103581499
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153823897452809861_LC.csv,3.11139462618e-16,995455068.856,995455111.627,1.62207508165e-15,3.12986914104e-16,6.03937446232
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153823897452810311_LC.csv,2.93604076979e-16,993100234.26,993100276.335,9.01245127045e-16,2.83801543301e-16,3.75245056705
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153823897452813742_LC.csv,4.71062421669e-16,996282426.344,996282545.709,1.65227844864e-15,4.8040601274e-16,5.3546924113
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153823897452814180_LC.csv,3.92626501118e-16,996283064.17,996283098.27,1.82183768412e-15,3.80900825997e-16,6.17732124396
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153823897452814180_LC.csv,3.92626501118e-16,996282868.6,996282900.067,1.01834642793e-15,3.80900825997e-16,3.59587473736
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153823897452815447_LC.csv,4.63858439009e-16,996235405.161,996235514.61,1.10341685735e-15,4.57711595429e-16,3.51112233399
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153823897452815575_LC.csv,3.53487799387e-16,996282643.386,996282763.361,1.42655863778e-15,3.52811609546e-16,5.16013752174
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153823897452815704_LC.csv,3.41363917927e-16,996276744.063,996276831.892,1.35103212564e-15,3.14146620752e-16,5.26155429377
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153823897452816351_LC.csv,7.84326383323e-16,996277211.616,996277365.277,2.61137447522e-15,7.96760152098e-16,6.05789826855
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153823897452816351_LC.csv,7.84326383323e-16,996277065.389,996277204.39,2.29929478222e-15,7.96760152098e-16,5.38870355733
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153823897452816383_LC.csv,3.2802062033e-16,996282754.359,996282857.45,1.16801245169e-15,3.09794463921e-16,4.58862369837
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153823897452816802_LC.csv,4.21437358767e-16,996283553.716,996283580.838,2.42414406031e-15,4.21916082564e-16,7.5699801978
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153823897452817111_LC.csv,3.03384785447e-16,996276544.831,996276634.496,1.24429139202e-15,2.891944138e-16,4.20422549679
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153823897452817722_LC.csv,1.808154986e-15,996329831.632,996329925.26,5.34511682597e-15,1.80061529857e-15,8.51804515734
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153823897452817736_LC.csv,3.75577547741e-16,996282434.046,996282493.464,6.84316321818e-15,3.5276557161e-16,14.4774597907
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153823897452817797_LC.csv,4.43855129838e-16,996330764.926,996330914.526,1.97731831067e-14,4.37062050339e-16,24.3690482786
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3153823897452817797_LC.csv,4.43855129838e-16,996336393.382,996336576.221,3.71931811507e-14,4.37062050339e-16,14.9875361193
