Kepler ID,RA (J2000),DEC (J2000), Apparent Magnitude, App Mag Uncertainty
3545019,291.546550,38.645282,17.934,0.033
3545046,291.551430,38.662179,16.148,0.019
3545048,291.552960,38.612891,14.720,0.019
3545061,291.555150,38.690965,15.879,0.019
3545114,291.567500,38.687241,14.009,0.018
3545135,291.574210,38.409607,19.445,0.092
3545147,291.577140,38.642594,10.857,0.018
3545158,291.580880,38.367263,15.852,0.019
3545170,291.584800,38.560694,18.935,0.065
3545175,291.585420,38.145622,18.542,0.036
3545186,291.589540,38.733736,18.534,0.060
3545227,291.599920,38.740220,19.251,0.077
3545235,291.601450,38.661719,13.200,0.018
3545240,291.602540,38.669428,15.617,0.019
3545251,291.605960,38.226520,18.705,0.041
3545377,291.637030,38.638413,15.267,0.018
3545394,291.640710,39.094999,16.784,0.022
3545413,291.646630,38.666846,16.330,0.021
3545427,291.650200,38.524903,13.555,0.018
3545443,291.653550,38.653245,15.954,0.020
3545457,291.658490,39.439963,17.800,0.036
3545458,291.658600,38.678125,18.970,0.071
3545478,291.664280,38.309764,17.145,0.018
3545519,291.673720,38.826611,19.670,0.085
3545520,291.674390,38.626087,18.520,0.041
3545533,291.677200,38.662712,15.760,0.020
3545563,291.685430,38.995677,18.169,0.033
3545583,291.691020,38.615035,15.074,0.018
3545590,291.693320,38.805736,15.722,0.019
3545592,291.693730,38.634076,14.842,0.018
3545593,291.693800,38.694043,14.627,0.018
3545626,291.700590,38.129709,18.346,0.038
3545652,291.705890,38.580839,18.840,0.061
3545661,291.707900,38.630327,14.963,0.019
3545682,291.712430,38.618240,15.295,0.018
3545694,291.715190,38.340621,18.381,0.046
3545703,291.717700,38.626206,16.096,0.020
3545753,291.727280,38.481450,18.606,0.053
3545811,291.743960,38.987255,14.204,0.018
3545822,291.747150,38.753710,16.413,0.021
3545831,291.749130,38.642769,12.138,0.019
3545832,291.749250,39.136915,18.762,0.046
3545840,291.752040,38.662640,10.980,0.018
3545842,291.752920,38.688856,14.782,0.018
3545924,291.772390,38.893749,14.398,0.018
3546046,291.805190,38.614944,19.512,0.084
3546052,291.805970,38.643991,14.008,0.018
3546061,291.808160,38.638714,11.339,0.018
3546090,291.816800,38.615746,16.172,0.021
3546159,291.834115,38.600558,15.722,0.014
3546192,291.844550,38.669519,15.696,0.019
3546256,291.862580,38.660223,19.757,0.069
3546258,291.862740,38.613933,12.956,0.018
3546264,291.863410,38.645582,19.051,0.047
3546285,291.868360,38.645710,15.169,0.018
3546318,291.876290,38.615989,18.143,0.030
3546326,291.879200,38.859565,17.675,0.027
3546341,291.883750,38.462945,18.998,0.051
3546343,291.884240,38.840912,17.195,0.023
3546381,291.894430,38.699170,16.227,0.020
3546390,291.896000,38.676841,15.747,0.019
3546402,291.898600,38.624112,15.092,0.018
3546403,291.898750,39.476069,19.785,0.114
3546406,291.900300,38.636461,15.774,0.019
3546428,291.905420,38.663600,12.530,0.018
3546455,291.913780,38.606019,18.554,0.045
3546464,291.916270,38.120765,19.509,0.072
3546472,291.919250,38.699437,16.097,0.025
3546479,291.920690,38.659941,15.936,0.019
3546523,291.929610,38.617414,15.487,0.018
3546532,291.931420,38.548600,18.307,0.033
3546537,291.932190,39.063907,15.952,0.025
3546540,291.932790,38.744296,18.805,0.041
3546598,291.947500,38.674282,13.773,0.018
3546627,291.955810,38.742521,16.350,0.020
3546631,291.956710,38.674182,12.841,0.017
3546641,291.959370,38.799024,19.898,0.084
3546683,291.968410,38.608960,14.861,0.019
3546718,291.980040,38.696531,16.217,0.020
3546735,291.983830,38.623891,14.088,0.018
3546744,291.985640,38.691993,13.805,0.018
3546765,291.991970,38.666555,12.431,0.017
3546821,292.007440,38.617442,12.780,0.018
3546892,292.023940,38.611292,14.872,0.018
3546978,292.045350,38.697781,19.261,0.046
3643228,290.791740,38.797977,16.340,0.019
3643304,290.816960,38.767038,17.830,0.029
3643325,290.822130,38.710603,14.616,0.018
3643329,290.822810,38.654789,18.894,0.050
3643343,290.825920,38.728984,15.673,0.019
3643372,290.833110,38.735528,15.771,0.018
3643387,290.835230,38.712921,14.299,0.018
3643390,290.836290,38.416401,18.654,0.041
3643447,290.853320,38.771286,13.193,0.018
3643461,290.857540,38.726467,13.802,0.018
3643466,290.859790,38.789698,13.578,0.018
3643489,290.866840,38.765518,18.830,0.046
3643644,290.910260,38.676879,16.315,0.020
3643774,290.947190,38.701753,19.701,0.084
3643799,290.955020,38.714898,11.728,0.017
3643949,290.997640,38.778028,18.104,0.032
3643951,290.997840,38.713822,13.346,0.018
3643968,291.004660,38.693748,18.863,0.044
3643973,291.005500,38.763875,15.896,0.019
3643987,291.008720,38.608147,,
3643993,291.010900,38.705880,15.096,0.018
3644107,291.040450,38.376784,18.431,0.038
3644109,291.040850,38.794157,19.708,0.084
3644116,291.044750,38.717021,10.850,0.018
3644128,291.048880,38.658238,18.342,0.034
3644159,291.059730,38.179975,19.044,0.046
3644208,291.073250,38.777908,17.652,0.026
3644215,291.074760,38.749187,15.069,0.019
3644223,291.077910,38.734250,14.978,0.018
3644224,291.077910,38.734250,14.978,0.018
3644256,291.089230,39.046738,17.191,0.023
3644304,291.102810,38.777008,19.731,0.087
3644343,291.113200,38.710030,15.327,0.019
3644360,291.117940,38.716963,14.139,0.018
3644369,291.119330,38.801812,16.778,0.021
3644400,291.129340,38.676957,16.024,0.019
3644539,291.170300,38.711567,11.716,0.043
3644542,291.170670,38.546539,17.286,0.022
3644649,291.199710,38.711378,14.742,0.019
3644715,291.220960,38.190047,18.763,0.042
3644781,291.239570,38.445191,15.798,0.029
3644863,291.260300,38.747412,13.976,0.018
3644930,291.274710,38.774494,13.737,0.018
3644958,291.282850,38.863824,19.201,0.054
3644979,291.289010,38.715311,15.271,0.019
3645003,291.293830,39.642378,19.838,0.102
3645057,291.306320,38.896419,18.432,0.036
3645077,291.313370,38.717995,19.078,0.070
3645152,291.328680,38.720677,15.716,0.020
3645182,291.335470,39.379493,16.698,0.022
3645188,291.337490,38.793847,15.214,0.018
3645193,291.338760,38.294250,17.946,0.023
3645213,291.342950,38.966550,19.327,0.060
3645232,291.347630,38.918986,18.690,0.038
3645249,291.352200,38.776978,15.276,0.019
3645265,291.355530,38.824955,16.676,0.021
3645282,291.359190,38.700333,16.786,0.022
3645335,291.370860,38.760208,18.457,0.046
3645338,291.371840,38.835725,18.041,0.029
3645345,291.374450,38.726579,14.624,0.019
3645353,291.376750,38.732631,19.057,0.059
3645411,291.393140,38.882985,16.590,0.020
3645414,291.394130,38.722592,14.141,0.018
3645430,291.397530,38.741967,15.592,0.019
3645459,291.407910,38.793088,16.132,0.019
3645502,291.416780,38.463105,17.960,0.034
3645519,291.420520,38.717730,15.154,0.018
3645530,291.422220,39.328225,14.974,0.018
3645533,291.423440,38.731005,19.947,0.114
3645568,291.433130,38.197609,18.229,0.032
3645589,291.438380,38.692876,18.204,0.033
3645639,291.450700,38.764550,15.515,0.019
3645649,291.453810,38.409164,18.462,0.044
3645658,291.454610,38.701895,15.037,0.018
3645684,291.462440,38.726712,,
3645733,291.473420,38.558952,18.687,0.047
3645753,291.483420,38.861970,17.851,0.031
3645778,291.489840,38.550464,18.472,0.044
3645789,291.492960,38.771025,13.038,0.018
3645863,291.511210,38.709698,13.855,0.018
3645884,291.515500,38.777946,14.312,0.018
3645924,291.523610,38.706299,16.164,0.020
3645936,291.526570,38.318865,19.228,0.061
3645950,291.529840,38.727520,15.933,0.019
3645962,291.532900,38.708250,14.761,0.018
3645967,291.534230,39.103410,19.014,0.054
3646006,291.543250,38.751645,19.020,0.059
3646025,291.548100,37.740627,17.252,0.029
3646034,291.549770,38.473124,19.074,0.078
3646055,291.553830,38.312029,18.347,0.028
3646069,291.557200,38.592896,16.364,0.021
3646112,291.567130,38.568756,18.045,0.034
3646127,291.572600,38.740925,17.610,0.028
3646145,291.576690,38.375405,18.473,0.044
3646181,291.586100,38.762914,13.349,0.018
3646201,291.590410,38.716807,13.221,0.018
3646260,291.607730,38.693750,17.557,0.030
3646321,291.626650,38.609703,19.484,0.099
3646351,291.635040,38.741804,19.470,0.089
3646372,291.641030,38.762367,15.983,0.020
3646421,291.653470,38.667896,15.530,0.019
3646436,291.656940,38.862351,17.845,0.028
3646499,291.672230,38.710646,15.982,0.020
3646515,291.676470,38.796918,17.064,0.022
3646564,291.687380,38.769736,19.308,0.077
3646576,291.689900,38.714306,13.180,0.018
3646645,291.708410,38.891210,17.605,0.027
3646668,291.715190,38.340621,18.381,0.046
3646707,291.725320,39.418406,19.766,0.148
3646734,291.731300,38.574252,15.871,0.020
3646744,291.732920,38.799978,14.661,0.018
3646781,291.744510,39.055792,17.971,0.035
3646785,291.745760,38.819387,18.175,0.033
3646798,291.748270,38.826642,,
3646831,291.757800,38.727731,,
3646835,291.759220,38.759593,19.126,0.077
3646848,291.764300,38.768869,14.191,0.018
3646907,291.777910,38.924118,18.430,0.038
3646914,291.779850,38.879454,18.225,0.033
3646936,291.785120,38.730490,18.348,0.041
3646960,291.789200,38.705347,14.763,0.018
3647049,291.812390,38.485813,17.926,0.038
3647057,291.814400,38.734761,15.122,0.019
3647067,291.816800,38.615746,16.172,0.021
3647103,291.826410,38.736764,14.626,0.013
3647114,291.830880,38.660603,19.457,0.050
3647127,291.837940,38.749574,15.490,0.014
3647136,291.840470,38.701807,16.263,0.014
3647147,291.842930,39.060508,17.012,0.016
3647159,291.845200,38.746000,14.593,0.018
3647185,291.853420,38.755433,15.721,0.019
3647215,291.861950,38.751045,12.900,0.018
3647218,291.863330,38.773554,15.553,0.019
3647234,291.867760,38.790785,14.102,0.019
3647271,291.877320,38.732523,15.663,0.019
3647295,291.882310,38.742270,14.314,0.018
3647316,291.887730,38.722761,14.862,0.018
3647317,291.888440,38.902280,19.007,0.042
3647342,291.894920,38.688452,17.663,0.025
3647355,291.899270,38.766488,15.836,0.019
3647370,291.903300,38.700382,15.520,0.026
3647386,291.906510,38.729020,16.153,0.019
3647402,291.911370,38.743499,16.238,0.021
3647419,291.916630,38.807047,19.014,0.045
3647432,291.919510,38.772108,13.711,0.018
3647471,291.929300,38.735796,14.529,0.018
3647476,291.930820,38.733300,19.210,0.045
3647505,291.938070,38.777873,12.778,0.018
3647529,291.942650,38.984600,15.787,0.019
3647596,291.957730,38.936215,18.153,0.031
3647629,291.964740,38.796529,16.133,0.020
3647657,291.972050,38.769766,15.145,0.019
3647668,291.974490,38.984994,19.928,0.084
3647671,291.975950,38.764850,19.583,0.065
3647684,291.979010,38.795228,15.571,0.019
3647762,291.995370,38.632577,18.010,0.029
3647773,291.997430,38.743758,15.460,0.019
3647781,292.000030,38.759001,15.875,0.019
3647782,292.000250,38.733104,15.392,0.018
3647799,292.005160,38.694258,17.556,0.023
3647803,292.006800,38.736955,19.385,0.063
3647812,292.009010,38.737344,15.006,0.018
3647824,292.011760,38.721036,17.311,0.022
3647870,292.025850,38.703821,15.381,0.020
3647903,292.032290,38.445207,20.512,0.120
3647918,292.035960,38.728539,12.812,0.017
3647944,292.042550,38.776933,15.285,0.019
3647967,292.047940,38.606062,18.081,0.030
3744586,290.777940,38.849969,15.005,0.018
3744614,290.785650,38.863966,19.315,0.058
3744628,290.790890,39.329286,19.026,0.055
3744635,290.793890,38.981213,19.456,0.071
3744681,290.809800,38.882449,10.778,0.017
3744693,290.813100,38.807215,13.424,0.017
3744770,290.836560,38.800833,13.418,0.018
3744781,290.844990,38.836743,19.201,0.051
3744782,290.840190,39.327819,15.923,0.019
3744905,290.873030,38.868760,15.997,0.019
3744943,290.883530,38.886621,14.915,0.018
3744954,290.886410,39.207443,19.419,0.068
