Kepler ID,RA (J2000),Dec (J2000),RA PM,Dec PM,Star/Gal ID,Teff,Log G,Metallicity,E(B-V),A_V,Radius,Parallax
3954277,291.5141810,39.0616900,-0.012,-0.005,0,5372,4.800,-0.219,0.061,0.188,0.637,
3954286,291.5165900,39.0978800,0.010,0.005,0,5930,4.506,0.236,0.101,0.313,0.960,
3954308,291.5218300,39.0623200,-0.004,-0.028,0,5984,4.123,-0.477,0.128,0.396,1.555,
3954327,291.5259410,39.0291100,-0.007,6.000e-4,0,4487,2.736,-0.221,0.163,0.504,8.483,
3954334,291.5277600,39.0694300,-0.008,-0.004,0,5438,4.526,-0.178,0.133,0.411,0.909,
3954342,291.5307110,39.0110500,-0.007,-0.031,0,5627,4.544,-0.394,0.107,0.333,0.904,
3954348,291.5321700,39.0496900,7.000e-4,0.004,0,4573,3.105,-0.263,0.155,0.480,5.545,
3954351,291.5334600,39.0997100,0.001,-0.005,0,6137,4.282,-0.274,0.138,0.429,1.276,
3954382,291.5413100,39.0844600,-0.001,-0.001,0,5161,4.610,-0.623,0.103,0.320,0.794,
3954433,291.5535600,39.0626200,-0.016,-0.020,0,5884,4.493,-0.115,0.082,0.255,0.974,
3954440,291.5548670,39.0214570,0.010,-0.019,0,,,,,,,
3954463,291.5627700,39.0133400,-0.015,-0.004,0,4915,3.655,-1.035,0.125,0.387,2.809,
3954480,291.5680500,39.0088900,-0.025,-0.007,0,5745,4.531,-0.129,0.124,0.384,0.923,
3954481,291.5680700,39.0992000,-0.002,-9.000e-4,0,5704,4.684,-0.179,0.090,0.279,0.761,
3954536,291.5834210,39.0245800,-0.003,0.007,0,4871,2.879,-0.178,0.228,0.708,7.287,
3954570,291.5907300,39.0837300,6.000e-4,-0.006,0,4816,4.635,-1.572,0.106,0.329,0.725,
3954590,291.5956610,39.0225000,0.022,-0.019,0,5782,4.463,-0.235,0.054,0.168,1.006,
3954596,291.5969510,39.0131300,-0.009,-0.005,0,4746,4.547,0.065,0.107,0.331,0.803,
3954621,291.6061800,39.0362600,0.000,0.000,0,5530,4.426,-0.244,0.167,0.517,1.036,
3954627,291.6075200,39.0738600,-0.008,-5.000e-4,0,5707,4.521,-0.102,0.150,0.465,0.933,
3954667,291.6171410,39.0453800,-0.032,-0.027,0,5389,4.698,-0.357,0.086,0.267,0.727,
3954671,291.6185810,39.0526800,0.010,0.004,0,4548,3.036,-0.017,0.143,0.443,6.017,
3954713,291.6302210,39.0655910,-0.004,-0.012,0,,,,,,,
3954758,291.6414410,39.0600800,-0.004,-0.001,0,5670,4.532,-0.276,0.169,0.523,0.919,
3954770,291.6451310,39.0862700,-0.016,-0.008,0,4748,3.269,0.100,0.131,0.407,4.571,
3954798,291.6513900,39.0380800,0.000,-0.003,0,6140,4.209,-0.136,0.139,0.432,1.400,
3954810,291.6544400,39.0876800,-0.001,0.010,0,6076,4.470,-0.111,0.104,0.323,1.010,
3954830,291.6605900,39.0074300,-9.000e-4,-0.007,0,6121,4.482,-0.565,0.127,0.392,0.998,
