Filename, Kepler ID, Start Time, End Time, Estimated Bolometric Energy (erg)
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933812_LC.csv,10907708,933710526.108,933710603.442,6.63342045638e+33
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933812_LC.csv,10907708,933711044.151,933711070.76,4.46799890446e+33
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933812_LC.csv,10907708,933710803.215,933710823.987,4.04372976928e+33
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933812_LC.csv,10907708,933711163.792,933711211.309,4.91270590564e+33
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933812_LC.csv,10907708,933710443.766,933710491.545,5.00047200349e+33
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933812_LC.csv,10907708,933710683.539,933710723.526,4.56907615168e+33
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933812_LC.csv,10907708,933710322.822,933710393.652,5.66613726516e+33
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933812_LC.csv,10907708,933710923.751,933710943.951,3.28126943581e+33
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933812_LC.csv,10907708,991669003.677,991669041.74,3.15610714699e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933812_LC.csv,10907708,991669123.719,991669164.914,2.15271310474e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933812_LC.csv,10907708,991669234.942,991669295.341,1.89833418136e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933812_LC.csv,10907708,991669316.443,991669424.08,1.81409452996e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933812_LC.csv,10907708,991669594.128,991669655.261,1.68261889985e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933812_LC.csv,10907708,991669463.554,991669545.427,1.55332501125e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933812_LC.csv,10907708,991669702.769,991669782.451,1.83776046637e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308933812_LC.csv,10907708,992166253.853,992166304.936,3.25508238014e+33
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308935572_LC.csv,11019472,995614360.421,995614472.441,1.35346109198e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308935823_LC.csv,11019521,995614473.708,995614609.639,1.76259720399e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308935883_LC.csv,11019317,992745976.003,992746012.357,1.54201979786e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308935883_LC.csv,11019317,995614433.465,995614544.311,3.96735810187e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091308935922_LC.csv,11019383,995614431.859,995614595.56,8.79588329133e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091311028244_LC.csv,10782847,995714314.203,995714354.093,7.06701337378e+35
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190310091311028384_LC.csv,10782843,992674537.51,992674746.569,1.91977798248e+35
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190345275681016588_LC.csv,5078579,926144929.855,926145034.442,4.25122178544e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190345275681016588_LC.csv,5078579,930244434.47,930244469.365,1.33014600642e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190345275681016588_LC.csv,5078579,930356844.212,930356985.982,2.02966952477e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190345275681016588_LC.csv,5078579,930356754.051,930356985.982,3.88393124292e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190345275681016588_LC.csv,5078579,930576017.135,930576124.3,2.42496867121e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190345275681016588_LC.csv,5078579,932894783.897,932894814.41,1.28671147693e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190345275681017295_LC.csv,5165151,995383229.157,995383367.719,2.39743371511e+36
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190345275681017480_LC.csv,5165901,930575201.918,930575312.738,1.08403432789e+35
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190345275681017540_LC.csv,5165870,932895115.599,932895195.245,6.06721500502e+33
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190345275681017540_LC.csv,5165870,932895266.469,932895304.603,6.17994831984e+33
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190345275681017540_LC.csv,5165870,932895223.904,932895255.976,5.95123795912e+33
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190345275681018094_LC.csv,5254208,926145151.435,926145245.5,1.84300620477e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190345275681018311_LC.csv,5254078,930243708.047,930243736.866,5.5608255069e+33
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190345275681018311_LC.csv,5254078,930356208.17,930356349.342,8.85164219239e+33
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190345275681023223_LC.csv,5683410,930581538.928,930581630.048,6.74542621359e+33
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190345275681023369_LC.csv,5683280,930581112.22,930581218.658,1.00842452185e+35
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190345275681024108_LC.csv,5684457,932893760.938,932893840.283,1.36625688749e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3190345275681024216_LC.csv,5684451,930581014.449,930581121.028,1.13899045588e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3875807212715643880_LC.csv,1025578,962407074.303,962407122.564,1.27867187756e+35
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3875807212715643880_LC.csv,1025578,962406844.588,962406892.891,1.17449541104e+35
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3875807212715646322_LC.csv,1429893,962305903.318,962305922.76,6.08166991207e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3875807212715646322_LC.csv,1429893,962400582.072,962400631.853,1.65395560101e+35
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3875807212715646322_LC.csv,1429893,962400704.04,962400782.496,1.41001467954e+35
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3875807212715646322_LC.csv,1429893,962400823.953,962400892.014,1.31275745698e+35
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3875807212715646322_LC.csv,1429893,962400943.094,962400991.326,7.86541703027e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3875807212715646322_LC.csv,1429893,962401573.489,962401682.076,1.33462681277e+35
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3875807212715647407_LC.csv,1570099,962406583.507,962406653.674,2.24782592277e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3875807212715647407_LC.csv,1570099,962406702.153,962406802.718,2.73587402224e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3875807212715647407_LC.csv,1570099,962406494.846,962406653.674,5.6387021497e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3875807212715647407_LC.csv,1570099,962407163.79,962407210.752,1.38949575098e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3875807212715647407_LC.csv,1570099,962406953.468,962406982.413,1.40968717018e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3875807212715647407_LC.csv,1570099,962407102.721,962407151.992,1.08183282187e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3875807212715647407_LC.csv,1570099,962406812.978,962406871.421,1.13070835555e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3875807212715647407_LC.csv,1570099,962406871.421,962406924.308,1.24129637244e+34
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3875807212715647407_LC.csv,1570099,962406653.674,962406683.563,6.27927239875e+33
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3875807212715647407_LC.csv,1570099,962407074.666,962407091.788,6.84640599215e+33
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3875807212715647407_LC.csv,1570099,962407013.052,962407043.924,9.92228046594e+33
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3875807212715647571_LC.csv,1570172,962406495.384,962406563.404,3.81258532822e+36
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3875807212715647571_LC.csv,1570172,962407003.394,962407033.838,1.38876855588e+36
/Users/cbrasseur/Documents/FlareWork/data/flareFiles/galexLcs/3875807212715647571_LC.csv,1570172,962406593.092,962406692.068,2.60992752541e+36
