galex_id,ra,dec,min_cnt,max_cnt,ave_cnt,lc_filename
3190169353820578920,281.726880642,44.7035706979,1.0,42.0,24.1198501873,
3190169353820578937,282.507900597,44.7264727678,1.0,18.0,7.66306306306,
3190169353820578943,281.608837477,44.7231255628,1.0,22.0,8.67512077295,
3190169353820578959,281.944552124,44.7275009562,1.0,17.0,7.7284144427,
3190169353820578981,281.721733919,44.6853401531,1.0,60.0,31.3516998828,
3190169353820578994,281.777842332,44.7250115492,1.0,22.0,9.39813581891,
3190169353820579022,282.180493506,44.7277377353,1.0,25.0,10.9534050179,
3190169353820579040,282.341641541,44.7222198077,1.0,21.0,9.38859180036,
3190169353820579075,281.56647309,44.7356001021,1.0,19.0,7.56756756757,
3190169353820579091,281.977886241,44.7263863985,1.0,21.0,7.9823434992,
3190169353820579103,282.394533962,44.7368572967,1.0,20.0,9.0625,
3190169353820579142,281.616518598,44.7327197545,1.0,26.0,10.6117216117,
3190169353820579145,281.836829517,44.7404206976,1.0,35.0,18.6785243742,
3190169353820579184,281.759628569,44.7401680133,1.0,30.0,14.9683377309,
3190169353820579185,282.436967284,44.7290304009,2.0,49.0,26.8388791594,
3190169353820579221,282.125960185,44.7428399816,1.0,22.0,10.054964539,
3190169353820579228,281.673484248,44.685240312,15.0,250.0,179.59382151,3190169353820579228_LC.csv
3190169353820579231,281.839089847,44.7378961808,1.0,35.0,18.7671957672,
3190169353820579246,281.639358882,44.746964675,1.0,25.0,10.7619047619,
3190169353820579249,282.24036119,44.7311005819,1.0,23.0,11.1872791519,
3190169353820579253,282.435434904,44.7491779225,1.0,23.0,9.50352112676,
3190169353820579295,281.62001266,44.744029288,1.0,30.0,13.6343949045,
3190169353820579306,281.572230967,44.7537749259,1.0,39.0,19.3508322663,
3190169353820579321,281.916252383,44.6685842434,4.0,136.0,90.7350877193,
3190169353820579343,281.932281096,44.7473842858,1.0,32.0,15.7160120846,
3190169353820579383,282.510331922,44.7531884876,1.0,22.0,10.3374777975,
3190169353820579393,281.438813462,44.7204006917,10.0,200.0,138.316588785,
3190169353820579410,282.034293735,44.7686983167,1.0,20.0,7.132137031,
3190169353820579418,282.186591687,44.7573871072,1.0,31.0,15.2200704225,
3190169353820579431,282.046135311,44.7680086395,1.0,17.0,7.36720142602,
3190169353820579437,281.760797252,44.7572030793,1.0,42.0,21.9696569921,
3190169353820579452,281.937444383,44.7736383796,1.0,18.0,7.16992481203,
3190169353820579453,281.941024174,44.7666364817,1.0,27.0,12.4251497006,
3190169353820579515,281.533442761,44.7649532042,1.0,21.0,9.23056300268,
3190169353820579521,282.452201271,44.7673921995,1.0,25.0,13.0194003527,
3190169353820579524,281.769276615,44.7754756149,1.0,17.0,7.3922356091,
3190169353820579536,281.888409847,44.7777068451,1.0,23.0,7.27272727273,
3190169353820579537,282.496593561,44.7453865706,5.0,97.0,64.0192644483,
3190169353820579550,282.405244661,44.7742229399,1.0,20.0,10.2707964602,
3190169353820579572,282.211519397,44.7741755113,1.0,22.0,8.34813499112,
3190169353820579590,282.176029039,44.7586386992,3.0,102.0,67.1330998249,
3190169353820579595,282.294315828,44.721412456,16.0,313.0,223.253940455,3190169353820579595_LC.csv
3190169353820579603,282.045545566,44.7808832531,1.0,19.0,7.32467532468,
3190169353820579605,282.254290707,44.7657354687,1.0,34.0,17.3869257951,
3190169353820579628,281.853468212,44.7724377366,1.0,30.0,14.3984063745,
3190169353820579665,282.277246217,44.7857308036,1.0,23.0,7.91055456172,
3190169353820579687,282.083992365,44.7824019542,1.0,32.0,12.9187279152,
3190169353820579690,281.960725105,44.7873837944,1.0,18.0,8.10558069382,
3190169353820579720,282.383580618,44.7763274411,1.0,56.0,25.2877192982,
3190169353820579722,282.443524225,44.7857783777,1.0,19.0,8.95535714286,
3190169353820579778,281.569210631,44.7944215197,1.0,26.0,9.87682119205,
3190169353820579797,281.66696169,44.7917883761,1.0,19.0,8.18933333333,
3190169353820579815,282.002725678,44.797464794,1.0,21.0,7.69724770642,
3190169353820579823,282.218189327,44.7936176461,1.0,21.0,9.85257548845,
3190169353820579847,282.442028818,44.7987175739,1.0,30.0,13.0814159292,
3190169353820579856,282.407659701,44.7867546768,1.0,55.0,27.8456140351,
3190169353820579872,282.384953235,44.7688783272,4.0,87.0,55.2329246935,
3190169353820579882,281.894054104,44.8079203401,1.0,18.0,7.98646820027,
3190169353820579889,282.085796845,44.7908577552,2.0,87.0,54.8038528897,
3190169353820579895,282.431860696,44.7831293734,1.0,53.0,31.5586690018,
3190169353820579958,281.738514963,44.8061863085,4.0,138.0,88.0736842105,
3190169353820579960,281.852533067,44.8096302667,5.0,130.0,82.0657894737,3190169353820579960_LC.csv
3190169353820579966,282.338136807,44.7923697132,1.0,68.0,41.591943958,
3190169353820579969,281.867249848,44.8120567651,5.0,105.0,67.4973684211,
3190169353820579971,281.893353573,44.8276161758,8.0,141.0,93.4157894737,
3190169353820579974,282.396743759,44.8059425618,1.0,29.0,13.2371681416,
3190169353820579978,281.750571124,44.8127643032,1.0,22.0,8.7,
3190169353820579980,281.997840883,44.8168827523,1.0,58.0,31.2807807808,
3190169353820579984,282.023459349,44.8141241845,1.0,39.0,17.9274924471,
3190169353820579986,281.652252835,44.8153491049,1.0,49.0,27.5868421053,
3190169353820579997,282.193713928,44.8411910025,5.0,99.0,64.8441330998,
3190169353820580002,281.634996794,44.8257819293,1.0,60.0,35.8473684211,
3190169353820580003,282.369570308,44.8745633321,5.0,148.0,98.3884892086,3190169353820580003_LC.csv
3190169353820580017,282.422264956,44.8253371287,1.0,24.0,9.88434163701,
3190169353820580021,281.98311511,44.8215753937,1.0,18.0,8.29428989751,
3190169353820580056,281.799610493,44.8185918525,1.0,21.0,7.60053619303,
3190169353820580069,281.753553688,44.8428529918,1.0,38.0,21.7107001321,
3190169353820580096,282.286568513,44.8469543351,1.0,47.0,19.0578947368,
3190169353820580176,282.266104645,44.8482341414,1.0,24.0,11.3615520282,
3190169353820580188,281.712129605,44.8386824371,1.0,18.0,8.63844086022,
3190169353820580208,281.90179121,44.9374600942,1.0,22.0,10.1366711773,
3190169353820580210,282.113126587,45.0044558833,1.0,26.0,12.7493606138,
3190169353820580227,282.020667404,44.9448030374,1.0,41.0,22.5669957687,
3190169353820580243,282.148824302,44.941192215,1.0,27.0,13.9023508137,
3190169353820580255,282.127624399,44.9558272286,1.0,22.0,8.2345276873,
3190169353820580286,282.033114775,44.9327063003,1.0,17.0,7.05057803468,
3190169353820580317,281.816188833,44.9225817149,1.0,20.0,8.7402422611,
3190169353820580325,281.933955556,44.9796093695,1.0,40.0,19.3310626703,
3190169353820580328,282.254683946,44.9476299231,1.0,18.0,8.15254237288,
3190169353820580387,281.990999009,44.9273671197,1.0,28.0,11.4704301075,
3190169353820580400,281.964964202,44.9146423532,1.0,68.0,41.4381578947,
3190169353820580458,282.12899351,44.9398025887,1.0,48.0,26.2635379061,
3190169353820580461,282.270082486,44.9261148604,1.0,16.0,7.25865209472,
3190169353820580521,281.86130969,44.9205147566,1.0,40.0,22.5381578947,
3190169353820580524,282.019514758,44.9107666635,1.0,18.0,7.63309352518,
3190169353820580548,281.924795266,44.8991514755,1.0,25.0,10.4259012016,
3190169353820580563,281.997086648,44.9115403089,1.0,28.0,13.3066485753,
3190169353820580583,282.304676568,44.9245383476,1.0,24.0,11.762195122,
3190169353820580630,282.309042852,44.921387575,1.0,24.0,9.23076923077,
3190169353820580653,281.980615296,44.8999359365,1.0,61.0,26.8052980132,3190169353820580653_LC.csv
3190169353820580680,282.095671901,44.9062104624,1.0,33.0,16.7131782946,
3190169353820580683,282.107276946,44.8967882962,4.0,90.0,55.4419713831,3190169353820580683_LC.csv
3190169353820580755,281.926149028,44.8796220012,1.0,64.0,39.9868421053,
3190169353820580765,282.349109121,44.8869789616,1.0,20.0,7.26966292135,
3190169353820580779,282.00750526,44.8863551054,1.0,17.0,7.13669064748,
3190169353820580832,281.895696641,44.8877071792,1.0,18.0,7.46639784946,
3190169353820580856,282.044270645,44.8834789804,1.0,21.0,9.11826347305,
3190169353820580876,282.178632006,44.8707720069,1.0,18.0,7.59893048128,
3190169353820580923,281.677259705,44.8661412459,1.0,47.0,28.4684210526,
3190169353820580933,281.893795671,44.8725153469,1.0,21.0,7.89959839357,
3190169353820580968,282.237614979,44.872887093,1.0,19.0,7.22759856631,
3190169353820580996,282.088472499,44.8595562895,1.0,21.0,9.73961661342,
3190169353820581019,282.180042414,44.9120818995,1.0,24.0,9.89911504425,
3190169353820581095,281.86869636,44.9540146063,1.0,28.0,13.5735694823,
3190169353820581114,282.379205998,44.8473252967,1.0,21.0,8.8487544484,
3190169353820581144,281.887165779,44.8512474374,1.0,33.0,11.9760956175,3190169353820581144_LC.csv
3190169353820581200,282.247914834,44.960593232,1.0,25.0,12.5899470899,
3190169353820581305,282.075916649,44.9876606232,1.0,18.0,7.7962962963,
3190169353820581342,282.226527022,44.8402877284,1.0,18.0,8.16042780749,
3190169353820581345,282.077991054,44.9632771201,1.0,19.0,8.08024691358,
3190169353820581353,282.230714088,44.9689180588,1.0,20.0,8.77653631285,
3190169353820581368,281.844308768,44.9488100661,1.0,19.0,7.75653370014,
3190169353820581437,282.01700549,44.9615289328,1.0,17.0,8.09686609687,
3190169353820581553,282.25540732,44.8687476824,1.0,57.0,30.301754386,
3190169353820581554,282.240730434,45.0189635994,1.0,19.0,8.51633986928,
3190169353820581661,282.001271878,44.9611294916,1.0,30.0,14.6870748299,
3190169353820581746,282.061168366,45.0606073928,1.0,21.0,10.7570093458,
3190169353820581769,282.202216461,45.0297539377,4.0,53.0,34.7602739726,
3190169353820581795,282.145124661,45.0045889966,1.0,27.0,9.92372881356,
3190169353820581800,282.234872225,44.9589684727,2.0,50.0,29.4143920596,
3190169353820581820,281.994499431,45.0039001197,1.0,25.0,11.8538461538,
3190169353820581857,281.958574934,45.0021552366,1.0,31.0,16.2132075472,
3190169353820581863,282.138563173,45.0127050063,1.0,24.0,7.57324840764,
3190169353820581880,282.224167441,44.9786783403,1.0,30.0,11.6970588235,
3190169353820581893,281.96886312,44.9808588439,2.0,73.0,45.8559782609,
3190169353820581937,281.895763638,44.994489768,1.0,28.0,13.6886956522,
3190169353820581947,281.910660898,44.986336176,1.0,26.0,9.94567062818,
3190169353821630564,282.352246972,43.9345902973,35.0,434.0,346.348623853,3190169353821630564_LC.csv
3190169353821630756,281.528172342,44.1237593851,5.0,285.0,158.053947368,3190169353821630756_LC.csv
3190169353821630799,281.573508312,44.150095885,9.0,254.0,141.864473684,3190169353821630799_LC.csv
3190169353821631061,281.240082872,44.3588187231,92.0,5491.0,2144.91266376,3190169353821631061_LC.csv
3190169353821631255,282.680932819,44.4754552647,1.0,23.0,10.0354609929,
3190169353821631513,282.265649803,44.6621162775,1.0,47.0,24.0263620387,
3190169353822667001,281.884914322,43.8606489191,24.0,392.0,294.765957447,3190169353822667001_LC.csv
3190169353822667339,282.154829243,43.8674114204,30.0,415.0,336.406779661,3190169353822667339_LC.csv
3190169353822667617,281.551170264,44.1354898699,178.0,9563.0,3321.175,3190169353822667617_LC.csv
3190169353822667816,282.363905441,44.0211892996,1.0,29.0,13.8418604651,
3190169353822667882,282.081949669,43.9573387455,36.0,541.0,404.508551881,
3190169353822667950,281.593688397,44.0317530848,1.0,38.0,18.7333333333,
3190169353822667966,282.491928394,43.980213191,34.0,370.0,304.0,
3190169353822668075,282.292770004,44.0182043264,7.0,144.0,95.5997109827,
3190169353822668194,282.249010465,44.0217672043,6.0,153.0,103.342485549,
3190169353822668195,282.022744876,44.0478419055,2.0,83.0,53.6754675468,
3190169353822668228,282.085074264,44.0030249479,62.0,879.0,657.938931298,3190169353822668228_LC.csv
3190169353822668256,282.559073756,44.0565551349,1.0,42.0,14.5257731959,3190169353822668256_LC.csv
3190169353822668266,282.469417803,44.075887808,1.0,24.0,10.6033950617,
3190169353822668343,281.714665347,44.0143606634,17.0,807.0,613.167127072,3190169353822668343_LC.csv
3190169353822668481,281.79284088,44.0720943777,2.0,65.0,39.5052631579,
3190169353822668596,282.186185994,44.0623002757,22.0,367.0,272.764705882,
3190169353822668835,282.515058092,44.0674764472,42.0,572.0,442.967479675,3190169353822668835_LC.csv
3190169353822669048,282.02103789,44.1486688963,1.0,50.0,24.4710526316,
